Предложения,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,100.0,47.58,6.69,5.69,5.52,0.0,0.0,6.16,0.0,0.0,6.02,6.02,0.0,0.0,5.52,0.0,0.0,0.0,0.0,0.0
1,47.58,100.0,6.69,5.69,5.52,0.0,0.0,6.16,0.0,0.0,6.02,6.02,0.0,0.0,5.52,0.0,0.0,0.0,0.0,0.0
2,6.69,6.69,100.0,5.38,5.22,0.0,0.0,5.82,0.0,0.0,5.69,5.69,0.0,0.0,5.22,0.0,0.0,0.0,0.0,0.0
3,5.69,5.69,5.38,100.0,4.44,0.0,0.0,4.95,12.04,10.92,4.85,4.85,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0
4,5.52,5.52,5.22,4.44,100.0,0.0,0.0,4.8,0.0,0.0,4.7,4.7,0.0,0.0,4.31,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6.16,6.16,5.82,4.95,4.8,0.0,0.0,100.0,0.0,0.0,5.24,5.24,0.0,14.32,4.8,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,12.04,0.0,0.0,0.0,0.0,100.0,12.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,10.92,0.0,0.0,0.0,0.0,12.32,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,6.02,6.02,5.69,4.85,4.7,0.0,0.0,5.24,0.0,0.0,100.0,5.13,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0
11,6.02,6.02,5.69,4.85,4.7,0.0,0.0,5.24,0.0,0.0,5.13,100.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,16.59,13.93,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.32,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
14,5.52,5.52,5.22,4.44,4.31,0.0,0.0,4.8,0.0,0.0,4.7,4.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.02,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.59,0.0,0.0,0.0,100.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.93,0.0,0.0,0.0,0.0,100.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.02,0.0,0.0,100.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
